comment,label,rate
Hàng ok.,POS,4
"Form ??p, shop còn t?ng 1 g??ng mini d? th??ng.",POS,5
"Mình mua 6c nh?ng có 1 cái v?i dày và nóng , 5c còn l?i v?i ??p m?c mát .",POS,4
S?n ph?m d? th??ng l?m.,POS,5
V? nh?a nhìn k ph?i nh?a ??p.,NEG,2
"Không bi?t shop vô tình c? ý ??i t? b? khát ph?n m?t sáng h?p bóng m?t, nh?ng mình c?ng v?n OK vì màu ??p.",POS,4
"??t mua 3 cái nh?ng ch? 2 cái ok, cái còn l?i b? l?i nghiêm tr?ng hai bên vai, nh?ng giá c? m?m cách ph?c v? c?a shop t?t!",NEU,3
Ch? Shop nhi?t tình s? ?ng h? ti?p..,POS,5
Giao hàng c?c kì.,POS,4
Túi ??p ?úng v?i hình ?nh.,NEU,3
Ch? ch? shop d? th??ng l?m ??????.,POS,4
",nhi?t tình.",POS,5
Cái áo ?en gì mà có 3 cái nút à m?c mà mát luôn ng??i.,NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Th?i gian giao hàng r?t nhanh.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
Thanks shop nhé.,POS,4
"Ph?n áo bên b? d?, là r?t d? luôn có mùi r?t khó ch?u=< ?óng gói s?n ph?m r?t ??p Shop ph?c v? t?m ???c.",NEG,1
qu?n thì nh? quá!,NEU,3
C?m giác tho?i mái.,POS,4
Eo mk 75cm nh?ng m?c size L v?n r?ng Shop ph?c v? r?t t?t.,POS,4
Shop lam an uy tín thi nên kh?c ph?c ?i?m nhé.??ng ?? khách hàng co s.nghi ib ho? mua hag thi t.l?i li?n Còn khách c?n ??i hag ib thi im re..nh? zay lam zam mua l?n.,POS,4
Ch?p nh?n ???c ?.,NEU,3
B?m y?u.,NEU,3
Mua 3 l?n r?i và r?t hài lòng ?????? ?ng h? shop dài dài.,POS,5
Hàng r?t ?ng ý ?k ?? màu r?t b?t ?nh.,POS,4
Gói hàng ko ch?c ch?n l?m.nh?ng sp gi?ng hình.cho sop 5 sao.,POS,5
"B? rách m?, k có dây ? m? nh? hình, áo gió 2 l?p .",NEG,1
Th?i gian giao hàng t?m ???c Shop ph?c v? t?m ???c Giá c? ch?p nh?n ???c.,NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t Shop ph?c v? r?t t?t.,POS,5
?óng gói s?n ph?m ch?c ch?n.,NEU,3
H?p c?m ch?c tay.,NEU,3
Ch?t v?i ??p...?? ?? ??.,NEU,3
V?n ?ng h? shop 5* nh?ng hi v?ng và s?a góp ý c?a ng tiêu dùng.,NEU,3
??p.,POS,4
Nh?ng ch?t l??ng giày Okay.,POS,4
chat dep. rat ung.,POS,4
Ncl siêu ?ng ? <3.,POS,5
?e?p y nh? a?nh ship hang n??a.,POS,4
R?t ?áng ti?n.,NEU,3
"Ph?i nh?n ""nh?"" h?y ??n hàng m?i ???c h?y.",NEU,3
A?o ?e?p nên ?a? ???t 2 chiê?c m??c thay ?ô?i.,POS,4
"Hàng chán , d?ch v? d?.",NEG,2
Hàng ??p.,POS,4
"giao hàng nhanh, áo form ??p nh? hình.",POS,4
"Ch?t l??ng s?n ph?m tuy?t v?i, nh?ng ?óng gói ch?a ??p.",POS,4
"ch?t l??ng s?n ph?m ok, h?p giá ti?n, v?i m?m m?c tho?i mái, s? ?ng h? shop ti?p.",POS,5
V?i r?t ??p.,POS,4
"Ch?t l??ng s?n ph?m tuy?t v?i, thích l?m.",POS,5
"Ch?t l??ng áo t?t, giá r?, nhiên giao sai màu ?ã ??t.",POS,4
Ch?t l??ng s?n ph?m t?m ???c có soc soc k thjk x?u.,POS,4
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
V?i nóng.,NEU,3
"Ch?t l??ng s?n ph?m t?m ???c, ?óng gói s?n ph?m r?t ??p và ch?c ch?n, Shop ph?c v? r?t t?t.",POS,4
H?i ti?c là không có màu da vs tr?ng ??.,NEU,3
Mình có góp ý nho nh? là shop gói hàng h?i sát ?? bên nên mình c?t h?i rén ?.,POS,4
Hi v?ng shop ko gi?n.,NEU,3
B? ngoài m?n ??p.,POS,4
Shop ph?c v? r?t t?t R?t ?áng ti?n R?t ?áng ti?n Th?i gian giao hàng r?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
S?n p.,NEU,3
Giao hàng lâu quá !,NEG,2
Dù v?y nh?ng v?n ?ng l?m.,POS,4
Trông khá ch?c ch?n.,POS,4
Ph?i ghì m?nh m?i rõ nét bút.,NEU,3
"Có ?i?u qu?n c?a b? g?u mk nh?n có b? l?i 1 ???ng dài, h?i ti?c nh?ng v?n s? shop 5*.",POS,4
Th?i gian giao hàng r?t Shop ph?c v? r?t t?t R?t ?áng ti?n Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
"Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n,form r?ng.",POS,5
T? v?n nhi?t tình.,POS,4
Shop ph?c v? r?t t?t.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Không ?ng l?m.,NEG,2
Ok l?m k khác chi ? spa.,NEU,3
"h?i shop thì shop b?, ko tr? l?i, không có trách nhi?m v?i công vi?c.",NEU,3
Ch? nh?n nhúm l?i.,NEU,3
Có nh? nào c?ng ph?i tr? l?i khách.,NEG,1
"Th?i gian giao hàng ch?m, ?óng gói s?n ph?m r?t ??p và ch?c ch?n R?t ?áng ti?n.",NEU,3
Khác hình.,NEU,3
Th?i gian giao hàng ph?c v? r?t t?t ??.,NEU,3
Vui long kiem tra lai cua size xl .Th?i gian giao hàng r?t nhanh.,NEU,3
m?i ng??i nên mua nhé. sp ??p l?m ??????.,POS,4
B?i z?y !,NEU,3
Shop ph?c v? t?m ???c Th?i gian giao hàng ch?m Ch?t l??ng s?n ph?m t?t.,POS,4
B?n ch? shop nhi?t tình t? v?n!!!!,POS,4
??p h?n mình mong ??i. ????????.,POS,5
Ch?t dão không ?anh.,NEU,3
"Hôm mình ?ã nh?n ???c qu?n r?i shop na,không ng? l?i ??n v?y.Mua l?n ??u c? lo lo, nh?n hàng thì th?y r?t thích nên ti?p t?c mua thêm, l?n này v?n siêu ?ng ý,hihi.Ch?t qu?n ??p, co giãn t?t m?c tho?i mái l?m luôn.",POS,4
"Ch?t vài ??p, ch? shop nhi?t tình, tho?i mái.",POS,4
Lên môi m??t.,NEU,3
"Ch?t l??ng s?n ph?m t?t, giá h?p lý.",POS,4
Áo ??p l?m shop ?i.,POS,4
Nh?ng shop bán hàng r?t t?t.,POS,4
V?i ??p.,POS,4
Màu x?u nh?t Th?i gian giao hàng h?i tr?.,NEG,2
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Không th? là 200k mà ?c ?ôi giày nh? v?y !!!,POS,4
c?ng ???c.,NEU,3
"Sp m?i date dài,.",NEU,3
Giá r?.,NEU,3
R?t ?áng ti?n.Túi ??p.,POS,5
Giao thi?u 1 s?n ph?m ...,NEG,2
Dây ?? máng áo k ch?c ch?n.,NEG,2
"Th?i gian giao hàng r?t nhanh, Ph?c v? t?t, H?p ??p, V? ng?n chu?n, Giày ??p.",POS,5
"*1 ?i?m tr? nh? thôi là áo v?i ?nh b? sai ch? 1 t?o, nên ?nh th?t tr??c mua.",POS,4
Ch?t l??ng s?n ph?m tuy?t v?i hàng gi?ng nh? trên hình.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n Shop ph?c v? r?t t?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,5
Ko bao gi? mua l?i.,NEG,1
R?t ?áng ti?n!,POS,4
Shop t? v?n nhi?t tình vui tính . giao hàng nhanh.,POS,4
Hihi.,NEU,3
"R?, ??p.... ko chê vào ?âu dc.",POS,5
T?m ?n.,NEU,3
Hàng r?t là ??p nhé.,POS,4
Mua l?n 2 r?i nhé s?n ph?m Ok nha.,NEU,3
H?t ?am mua ?? ? shoppee luôn r?i.,NEU,3
Túi h?i c?ng.,NEU,3
Shop ph?c v? r?t t?t.,POS,4
"Mình mua s?n ph?m này và các s?n ph?m khác t?ng s? l??ng là 6 cái v?y shop giao thi?u cái này, Trên bill xu?t thì th?y ghi có 5 s?n ph?m, ?ó ghi b? sung s?n ph?m này vào nh?ng không b? hàng vô h?p.",NEU,3
V?i ??p.,POS,5
"Áo m?c nhe, không nh?n ?? nhi?u th?i gian gi?t gi?.",NEU,3
M?c ?ã h?n m?y áo 2 tr?m ngàn e m?i mua ??.,POS,4
"Ch?t l??ng s?n ph?m r?t kém,mau k jong.",NEG,1
Hên bên shop k?.,NEU,3
R?t ?áng ti?n Th?i gian giao hàng r?t R?t ?áng ti?n Ch?t l??ng s?n ph?m tuy?t v?i.,POS,4
"Ch?t l??ng s?n ph?m tuy?t v?i, ch?t ??p.",POS,5
Ch?t k ?c ??p.,NEG,1
?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,5
Khá ?ng ý.,POS,5
Hàng chu?n.,POS,4
Hàng ko ??p ch?t thua các shop khác nhi?u.,NEG,2
v?i ??p R?t ?áng ti?n.,POS,4
T?m ?u?c.,NEU,3
Shop t? t?.,POS,4
M?c thoáng nh? k m?c :)) ch? ch? shop ?áng yêu nhi?t tình.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
giao hàng r?t ?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,4
?óng gi? sp ??p.,POS,4
?? ?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t R?t ?áng ti?n Shop ph?c v? r?t t?t.,POS,5
Ch? t?i 45 kg thôi.,NEU,3
Ch?t ??p ?.,POS,5
?óng gói s?n ph?m r?t ??p và ch?c ch?n nh?ng s?n ph?m kh ???c nh? mong ??i.,POS,4
Dây dai h?i nh?.,NEG,2
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n R?t ?áng ti?n R?t ?áng ti?n R?t ?áng ti?n R?t ?áng ti?n.,POS,5
Giao hàng tiêu chu?n.,NEU,3
Nh?ng ???ng ch? x?u.,NEG,2
Nói nh?ng s? ti?n b? ??u là ?áng giá :3.,NEU,3
T?.,NEG,1
Th?i gian giao hàng r?t nhanh.,POS,4
Nh?n hàng xong th?t v?ng ghê g?m :(.,NEG,1
"V?i dày v?a, ??p.",POS,5
R?t ?áng ti?n.,POS,4
K c?n ti?n nha b cskh nh? shit.,NEG,1
Ch?t l??ng s?n ph?m tuy?t v?i ?uóng gói s?n ph?m r?t ??p và ch?c ch?n ?óng gói s?n ph?m r?t ??p và ch?c ch?n R?t ?áng ti?n.,POS,5
"Shop ?i v?i êm l?m nha, ?ng h? dài dài.",POS,5
"Size XL ch? t?m ??n 60kg m?c ??p, 64kg thì b? ch?t bó m?c ko ??p l?m!!!",NEG,2
"Sp còn ?ang tr?i nghi?m, ?i?m tr? l?n nh?t bán hàng ?i?n t? k có Bill phi?u b?o hành gi? ?i kèm.",NEU,3
Th?i gian giao hàng r?t nhanh.,POS,4
"Hàng y hình, ??p.",POS,5
??t áo c? tròn th? giao áo tr? vaiii.,NEG,2
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
"nh? chân, r?t ??p.",POS,5
"Lúc m?i l?y ko ?? ý k? ,h l?i hóa áo b? loang màu, b?n bán hành l?i khách ?",NEG,2
"hàng r?t ??p,giao hàng nhanh,ti?n l?i ti?n nào c?a ?y giá r?t ??p.",POS,4
"Áo ??p h?n hình, ch?t m?n.",POS,5
Ki?u dáng tr? vai khá ??p.,NEU,3
R?t ??p ch? có d?p li h?i k ??p tí thôi ?.,POS,4
Áo ??p !!!,POS,5
"Kh?n m?m,th?m hút t?t.",NEU,3
voi gia ti?n thi v?i ao ki h?i t?.,NEG,2
"Ch?t qu?n c?ng r?t là ok m?c lên dáng ??p ??ng qu?n, v?i co giãn r?t tho?i mái.",POS,4
2 h? 4 và 6 sx n?m 2018 nh?ng h? 15 thì sx n?m 2017.,POS,4
"Ch?t l??ng s?n ph?m t?m ???c, ?èn b?o sáng h?n zin mà ?êm b?t lên nh? ??m vào m?t, ko th?y ???ng ?i.",NEG,2
B? rách c? :(.,NEU,3
Th?i gian giao hàng r?t R?t ?áng ti?n Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t.,POS,4
Gi?ng hình Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng ti?n Shop ph?c v? r?t t?t.,POS,5
Ch?t l??ng s?n ph?m r?t kém.mk khuyen cac b k nen mua.o ngoai nhin áo to va len thi xù.ti?n m?t t?t mang.mua ve m?t công k dùng ???c.,NEG,1
Làm h??ng d?n Ok.,NEU,3
Sp t??ng ??i ok v?i giá c?.,POS,4
Minh nhâ?n ?c hang quâ?n ko ok bi ra?ch.,NEU,3
Chat ??p và sp nh? hình.,POS,4
C?ng t?m ?c.,NEU,3
Qu?n form chu?n.,NEU,3
Mua hoá ??n ít còn ?c t?ng quà n?a !!,POS,4
"Áo ??p v?i m?n l?m có cái là dáng tuii h?i nh? nên m?c h?i r?ng , ??.",POS,4
Ch?t l??ng s?n ph?m tuy?t v?i danh x?ng v?i th?c ??????.,POS,5
Lo?i này ngoài ch? 100k 3 cái.,NEU,3
Kích th??c chu?n ch? có 42 thôi ko ph?i là 44.,NEU,3
R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,5
L?i ? bên shop thì shop nên ch? ??ng màu ?úng ??i khách.,NEG,2
Giao hàng nhanh.,NEU,3
Áo ??p nh?ng h?i dính b?i ?.,POS,4
"Hàng ??p, mà freesize ch? m 1m55, n?ng 48kg m?c h?i r?ng.",POS,4
Giao hàng ch?m.,NEG,2
Sp làm c?ng lên thì ok.,NEG,2
ca?m ?n.,POS,4
"Áo ??p, m?i ng??i yên tâm mua hàng !",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i vai rat dep.,POS,5
Ch?y ph?p phù hút s?c n??c l?i hút l?i t? ??u.,NEG,1
"Váy ??p, nhiên các b?n nên mua nh? h?n 1 size vì n?u mua ?úng size s? b? r?ng.",POS,4
Áo mát v?i m?m d? ch?u R?t ?áng ti?n.,POS,4
Th?i gian giao hàng r?t nhanh.,POS,4
Áo ??p và r?t ok luôn shop 5??.,POS,5
C?ng g?i là ok.,NEU,3
?ep quá xu?t s?c.,POS,5
?óng gói s?n ph?m kém Shop ph?c v? t?m ???c.,POS,4
K ?ág ti?n.,NEG,1
Tuyet voi .,POS,5
?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t nhanh.,POS,5
Order hình 5 shop g?i hàng hình 3.,NEU,3
B?m h?t c? v?n ?n ???c 1 chút.,POS,4
T? quá t?.,NEG,1
Shop g?p váy vào túi chú ý 1 chút vì váy c?a mình b? g?p gãy n?p.,NEU,3
Ch?t v?i c?ng ?n.,NEU,3
Không có ch?.,NEG,2
Áo r?t xinhh.,POS,4
?i?m tr? là mùi áo lúc ??u h?i khó ch?u.,NEU,3
Màu vàng l?i thành nâu.,NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t R?t ?áng ti?n.,POS,5
"V?i ??p, mà ph?n ph? tr??c h?i ng?n.",POS,4
Nh?ng ch?t v?i m?c nóng.,NEU,3
"Tuy?t, siêu sexy.",POS,5
Ch? shop nhi?t tình.,POS,5
Không ph?i váy x? tà ?.,NEU,3
"V?i ok nh?ng t? v?n 1 ???ng lây szie 1 n?o , tóm l?i mua 3 cái k m?c v?a cái nào , ?em trai m?c luôn .",NEG,1
M?c r?t tho?i mái thoáng mát.,POS,5
Váy ??p l?m shop ?i!,POS,4
"Shop ph?c v? r?t t?t,ch?t l??ng s?n ph?m t?t.",POS,5
?óng gói s?n ph?m r?t ??p và ch?c ch?n Shop ph?c v? r?t t?t Shop ph?c v? r?t t?t.,POS,5
Shop ph?c v? r?t t?t.,POS,4
Ngày tháng voucher chu?n.,NEU,3
"Dây nu?t nà, m?m m?i l?m AE ?.",POS,4
S?n ph?m r?t ?áng ti?n.Nhà mình bây gi? ngày nào c?ng dc lau s?ch bóng thay vì tr??c ?ây 1 tu?n lau có 1 l?n.,POS,4
"Váy có 2 l?p khá m?ng, ???c may x?p li khá ?n.",NEU,3
t?m giá là quá tuy?t.,NEU,3
Ch? h?i r?ng v?i mình.,NEU,3
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n v?a ý hàng ??p h?n hình.,POS,5
Bao b?c r?t c?n th?n.,POS,5
"Th?c s? r?t hài lòng, shop c?c k? uy tín và bi?t cách ch?m sóc khách hàng !",POS,5
"Áo kh gi?ng hình.. ch? ch? nch lúc ??u thì vui v?, ?? ngh? hoàn l?i ti?n mình nh?ng ??n gi? v?n k th?y ?âu.",NEG,1
"V?i mát, form ok.",POS,4
Ko ngh? l?i nh?n ?c hàng quá v?a y nh? vay s? voi gia ti?n.,POS,4
Giá r?.,NEU,3
Th?i gian giao hàng r?t Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Ch?t kém R?t không ?áng ti?n.,NEG,1
Th?i gian giao hàng ?óng gói s?n ph?m t?m ???c.,NEU,3
Giá h?p lý.,POS,5
Mua l?n t2 r và hài lòng l?m ??.,POS,4
"Ch?t l??ng s?n ph?m kém, box siêu nát, không ???c ??p nh? hình và khá ch?t v?i size.",NEG,1
Shop b?c hàng r?t c?n th?n.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Dây dài mà vòng tui l?i nh?.,NEU,3
Ch?t l??ng s?n ph?m t?m ???c Th?i gian giao hàng nhanh????.,POS,4
??p.,NEU,3
Gói hàng k? càng.,NEU,3
Vâ?n 5* vi? châ?t l???ng.,POS,5
Hàng gi?ng hình.,NEU,3
V?a ý.,NEU,3
Hàng nói ok ti?n nào c?a n?y nh?ng shop c?n chú ý h?n là ch? th?a nhi?u l?m v?i l?i ???ng may l?n x?n nh?ng mik th?y ok này s? ?ng h? shop n?a.,NEU,3
Mà shop giao nh?m mình r?i nha mình d?t hai cái trái tim mà shop giao hình m?t c??i.,NEG,2
Áo s? mi màu cam ?ât v?i ??p m?c mát.,POS,5
??t m?t m?u ?ã nh?n g?i ?nh shop c?ng nh? ch?n ?úng màu v?y mà shop v?n giao nh?m b? khác.,NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t Th?i gian giao hàng r?t Shop ph?c v? r?t t?t.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Shop c?n ktra tr??c ?óng gói khách.,NEU,3
Khui hàng thì th?y h?p b? th? này.,NEG,2
Không ph?i l?i shop áo :>.,NEU,3
T?i ngh? giá thành r? v .,NEU,3
Ch?t bai nhão.,NEU,3
Dinh mua thu 1 cai roi mua thêm vai mau nua vi minh cung thích vai len.,POS,4
e ?ng l?m. nhìn cute l?p 1e luôn ?y. s? ?ng h? shop ti?p ?. ??.,POS,5
Th?i gian giao hàng r?t nhanh.,POS,4
B?n nào ?ang ??n ?o thì mua ?i nhé ??????.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i hang dep y hinh.,POS,4
Nh?ng nhìn giày h?i c?.,NEU,3
T?t ?ep s? ?ng h? ti?p.,POS,5
"r?t ?ng ý, s? ti?p t?c ?ng h? shop.",POS,4
Mùi hôi ko ch?u dc.,NEG,1
c?m ?n D?ng.,NEU,3
Ch?t l??ng s?n ph?m t?t.,POS,4
Ch?t v?i r?t ?ng.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n .,POS,5
M?i bóc thì ??p.,NEU,3
"Ch?t l??ng s?n ph?m tuy?t v?i Shop ph?c v? r?t t?t Th?i gian giao hàng r?t nhanh,có ?i?u màu h?i ? vàng.",NEG,2
V?i t?t nh?ng màu k gi?ng hình.,POS,4
Shop phuc vu ko tot...,NEG,1
A?o ?e?p n??a .,POS,4
"Giao hàng chóng,.",NEU,3
Giao hàng h?i ch?m.,NEG,2
Th?i gian giao hàng r?t nhanh.,POS,4
Áo r?t ??p...,POS,4
shop 5* ?.,POS,5
"Áo r?t ??p, ch?t l??ng tuy?t v?i.",POS,4
"Ch?t l??ng sp t??ng ?ng giá sale, ch?t v?i m?ng, bí, chi ti?t áo t??ng ??i ch? k ??p y hình.",POS,4
"V?i ch?t ??p , nh? hình.Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n.",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
?óng gói s?n ph?m r?t ??p và ch?c ch?n.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i ?óng gói s?n ph?m r?t ??p và ch?c ch?n ??c bi?t giao hàng r?t luôn ?!,POS,4
Hàng c?ng ???c.,NEU,3
S? ?ng h? shop dài dài Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Áo r?ng ????.,NEG,2
Ch?t l??ng ko ??p nh? hình.,NEG,2
"??t gi? flash sale v?a ???c mua hàng r? mà giao hàng n?a, ??t 11h mà 13h30 nh?n ???c hàng r?i.",POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
T?m ???c.,NEU,3
??p nh?ng giáo hàng ko l?m.,NEU,3
Nh?ng mà áo không ??ng ??u l?m ?.,NEG,2
Nh?ng ch?t OK.,NEU,3
^^.,POS,4
??p th?i gian giao hàng nhanh.,POS,5
Có m?t s? nh?m l?n nh?ng shop xu ly g?n .,NEU,3
"Jao hk ?úng hàng th?t th?t v?ng, ?ã v?y shop còn ?ánh ja nguoc l?i nguoi mua 1 làm ?n v?y dám mua chèn.. ??????.",NEG,1
M?c ch?t.,NEU,3
Có b?ch nilon l?i h?p cám nên ko sao.,NEU,3
Ch?t l??ng s?n ph?m r?t kém hàng l?i v?i Mh ta hang thi shop k ch?p nh?n.,NEG,1
Th?i gian giao hàng nhanh.,POS,4
êm chân l?m nè!,POS,4
Hàng ok.,POS,4
?óng gói s?n ph?m ch?c ch?n.hàng ?úng nh? hình c?a s?n ph?m.,POS,4
K c? có tem mác Ch?t l??ng s?n ph?m t?m ???c.,NEU,3
Shop giao thi?u hàng còn giao l?n tùm lum .,NEU,3
Giao hàng không ?úng.,NEG,1
V?n chuy?n h?i lâu.,NEG,2
"H?p ?ã b? khui... mình mua t?ng b?n và ship ??n n?i b?n mình làm ?? nh?n ???c nh?n không hài lòng, ?ó gi? mình ch?a bao gi? ?ánh giá shop nào t? v?y ?âu nh?ng shop nên l?i s?n ph?m bên shop.",NEG,2
?áng ??ng ti?n bát g?o l?m í ch?.,POS,4
Gi? ?? không mèo lên l?c.,NEU,3
Giao h?i ch?m nh?ng mà s?n ph?m c?c kì ch?t l??ng.,POS,4
"Ch? ph?i ??n g?n 10p m?i nh?n ?c mã, ch?a k? ??t xong ko th?y ??n hàng ?âu làm mình t??ng l?i nên ??t l?i thành 2 l?n li?n.",NEG,2
?óng gói s?n ph?m kém nh?ng Shop ph?c v? r?t t?t.,POS,4
Qu?n ??p ???ng may ch?c ch?n ch?t m?m h?n mong ??i chúc shop buôn may bán ??t Th?i gian giao hàng r?t Shop ph?c v? r?t t?t.,POS,4
Cách c? x? c?a nhân viên vs khách hàng quá t?.,NEG,2
Hàng d? v? mà gói móp méo c?m gói hàng là th?y ? có gì luôn.mì thì nát h?t.,NEU,3
Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Th?i gian giao hàng ch?m Shop ph?c v? khá t?t.,POS,5
Gi?ng tóc th?t ghê luôn.,NEU,3
S? ?ng h? dài dài.,NEU,3
Áo ??p giao hàng ??????.,POS,4
Very good.,POS,5
Se ?ng h? shop ti?p.,POS,5
M?i t?i cái v? nilon bên ngoài h?i b?n 1 tý thui.,NEG,2
Ch?t l??ng t?t.,POS,4
"Hàng ??p, N size c m?c r?ng e ?.",POS,4
Áo ??p nh?ng ???ng ch? tùm lum ko c?t.,NEU,3
Giao hàng nh?ng ?u.,NEG,2
m? k ???c to l?m nh?ng mà e v?n thích.,POS,4
Cám ?n shop :))))).,NEU,3
V?i ko ??p nh? shop ns.....,NEG,2
Hihi.,NEU,3
?óng gói s?n ph?m r?t ??p và ch?c ch?n Th?i gian giao hàng r?t Shop ph?c v? r?t t?t R?t ?áng ti?n.,POS,5
"Hàng ??p, m?c v?a v?n, c?m ?n shop.",POS,4
Hàng v?i giá thì quá tuy?t...giao hàng nhanh...nói là quá ok.,POS,5
?óng gói s?n ph?m kém h?p nát méo mó.,NEG,1
Nh?ng v?n shop 5 vì Shop ph?c v? khá t?t Th?i gian giao hàng nhanh.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
Ch?t l??ng s?n ph?m tuy?t v?i Ch?t l??ng s?n ph?m tuy?t v?i R?t ?áng tiênf.,POS,5
Th?i gian giao hàng r?t nhanh.,POS,4
Ch?t l??ng s?n ph?m tuy?t v?i.,POS,5
V?n shop 5*.,POS,4
"váy lên form r?t là ??p, th??t tha l?m.",POS,5
bao nhiêu l?n mua áo trên shopee l?n này mình r?t hài lòng.,POS,5
E r?t thích.,POS,4
??t cùng 1 set 38 màu xanh nh?ng qu?n nh? h?n .,NEU,3
Gút.,POS,5
K gì ??.,NEG,1
Áo h?i to v?i m nh?ng v? ch?t li?u thì ok.,POS,4
Ch?t l??ng s?n ph?m t?t ?óng gói s?n ph?m ch?c ch?n Có c? h?p n?a ?????? s? còn ?ng h? <3.,POS,5
Cheo ??u dê bán th?t chó.,NEG,1
?ng ý R?t ?áng ti?n Th?i gian giao hàng r?t nhanh.,POS,5
Ch?t l??ng s?n ph?m t?t Th?i gian giao hàng r?t ch?m.,POS,4
??t hàng m?t kjeu giao hàng kjeu khác.,NEG,2
Ch? ti?c là cây h?i nh? nên s? d?ng treo ?? nh? thôi.,NEU,3
"?óng gói s?n ph?m r?t ??p và ch?c ch?n, d?o này giao hàng ch?m quá.",POS,4
Áo ch?t len m?m m?n.,POS,4
Shop ph?c v? r?t t?t Nh?ng áo mình m?c b? r?ng.,POS,4
"nhiên, ?ã áo có vài v?t ?en, k bi?t lúc gi?t có h?t k?",NEU,3
?ng chân k gi?ng nh? m?u may ch?t c?ng ???c.,NEU,3
Áo ??p...,POS,4
Hàng x?u kém ch?y l??ng.,NEG,1
"Phía ngoài balo m?ng, ???ng ch? may b? l?i không ???c s?c s?o. sh ph?c v? tôt,giao hang nhanh.",NEU,3
"Th?i gian giao hàng r?t nhanh, có h?i nhi?u len th?a.",POS,4
